_id,id,learningTrackCluster_id,Number of Learning Activities in LT,Number of Exercises in LT,Number of Engagement Activities in LT,Number of Communication Activities in LT,Number of Videos in LT,Number of Games in LT,Times Edited,Average Fun of LT,Average Difficulty of LT,typeLT,highuseteachLT,notprimary
174,3c43d978-165a-4413-b51e-c30d2ad6e1d7,15,36.0,19,6,1,2,0,0,4.636363636363637,1.2727272727272727,1,0,0
526,70a6567e-5748-4969-b938-4f4622e29b43,15,29.0,17,4,0,1,0,0,4.5,,1,1,0
569,ce455bf6-5990-4618-af8b-0f5483e98881,15,26.0,16,4,0,1,0,0,,,1,0,0
162,67905827-7a7a-44c2-a74e-d530ef0dfc6e,15,0.0,0,1,0,0,0,1,,,1,0,0
155,f3fda348-8748-4b0f-8c50-3eeb14f6e492,18,2.0,2,0,0,1,0,0,,,0,0,0
157,9c2768e9-5ece-4b2a-9059-b29662dc0903,18,2.0,2,0,0,1,0,0,,,0,0,0
168,9f444193-634f-43e1-ac3a-0542b9307968,11,5.0,1,0,1,4,0,0,,,2,0,0
175,2b5e022b-7e6a-4759-a5a4-8682d31a2cfd,15,25.0,15,4,0,1,0,0,3.0,3.0,1,0,0
167,9577d8ff-1000-473a-8eb5-bd88d6e6052d,11,5.0,1,0,1,4,0,0,,,2,0,0
165,7d01a557-b03d-4fbb-a40b-d558d864943f,18,18.0,15,2,0,2,0,0,,,0,0,0
936,57227ca5-71c0-40a8-ad42-93627a995049,3,25.0,12,8,3,3,0,0,,,1,0,1
527,dfa56239-7c06-4370-a453-a830ca8a978c,15,24.0,15,3,0,1,0,0,4.333333333333333,,1,1,0
40,bd3ddea4-f5ce-43d6-92be-06f01a8fc328,18,17.0,15,2,0,2,0,3,,,0,0,0
186,a6e49f52-db0d-4bc8-b4bd-d8d2df56851b,11,5.0,1,0,1,4,0,0,,,2,0,0
187,aee857e0-fefb-4090-94b1-0c877250f3cd,11,2.0,1,0,1,0,0,0,,,2,0,0
188,da5b9664-06b9-44c3-ab71-2c1c080f785a,11,2.0,1,0,2,0,0,0,,,2,0,0
189,b9f8d0a6-5678-43c0-b9f1-e3c97199870a,11,2.0,1,0,2,0,0,0,,,2,0,0
190,1c28e3b9-8bd9-4dba-a250-6b8dee13618f,11,2.0,2,0,0,0,0,0,,,2,0,0
191,75919459-c566-407a-a867-62ce42a5efda,11,3.0,2,0,1,0,0,0,,,2,0,0
192,b3d547bc-90b5-461e-8716-108c96ad30a5,11,3.0,2,0,1,0,0,0,2.0,2.0,2,0,0
193,c6a7552c-16a3-4d7f-9a85-3f786b7ceb5b,11,4.0,1,0,2,1,0,0,,,2,0,0
194,774810b5-5e23-4b14-a1bf-98c54bef4133,11,4.0,1,0,3,1,0,0,,,2,0,0
195,0da4e19d-ffe0-4d27-a635-4a0b97592677,11,4.0,1,0,3,1,0,0,,,2,0,0
177,8b5b3383-4b36-44f2-98ae-6cc7e207a57c,19,35.0,17,15,2,2,1,0,,,1,0,1
185,4f4d0993-60a2-49f3-b92c-43fd8cfcddba,18,18.0,15,2,0,2,0,0,,,0,0,0
183,4a55df8b-3d63-4f8e-b312-1ff2fc6798de,18,12.0,8,3,0,1,0,0,,,0,0,0
207,a37fff5b-55d5-4b22-84a2-3467b95d3a1a,15,26.0,16,4,0,1,0,0,,,1,0,0
213,9ff95cae-5ea3-43ca-9761-a240f40e518b,2,18.0,9,3,0,7,0,0,3.75,2.25,1,0,1
217,25be2ede-9c89-4992-8c2f-1f7273aa6785,15,36.0,18,6,1,2,0,0,,,1,1,0
219,3415004c-8a7d-4d05-9f25-37bedb8560ed,15,36.0,19,6,1,2,0,0,,,1,1,0
220,64881a08-100a-4cc8-b7a1-d4811716b2d4,15,29.0,17,4,0,1,0,0,,,1,1,0
221,bf5b9d0c-66ce-46f1-9bb8-b042ed9d3b10,15,29.0,17,4,0,1,0,0,,,1,1,0
222,a012d0d8-6a9f-49c5-9166-910b5ab4aa4e,15,24.0,15,3,0,1,0,0,,,1,1,0
223,1df47ad0-d767-4310-af10-2dbc98fb7d7b,15,27.0,16,3,0,1,0,0,,,1,1,0
224,36cb8e91-7689-4da1-a86e-fc078c19436c,15,26.0,16,3,0,1,0,0,,,1,1,0
123,c7c7acf0-8a93-4651-bea0-cc04bf95bc68,2,22.0,11,5,0,7,0,0,2.6666666666666665,2.6666666666666665,1,0,1
180,a43721d1-a6b9-4df6-b9fb-8b1c11cfad63,12,7.0,5,0,0,2,1,0,,,3,0,0
202,6054816e-9d4e-4b08-a7cb-c5b1bc686ad2,12,7.0,5,0,0,2,1,0,,,3,0,0
181,787f2b7b-6104-4597-8045-bd07a6bea536,12,7.0,5,0,0,2,1,0,,,3,0,0
196,e2a63d87-5df3-4c48-895b-75e883bbae43,18,4.0,2,0,2,1,0,0,,,0,0,0
184,a8067b15-440f-464a-b9f1-121e4895abe9,18,12.0,8,3,0,2,0,0,,,0,0,0
201,50dfa2b7-382a-4db8-81a9-5e172c0e8657,18,5.0,3,0,2,1,0,0,,,0,0,0
169,d9b181e9-e796-4962-a7b8-e093de3b6e98,18,18.0,15,2,0,2,0,0,,,0,0,0
182,62743715-1d9c-4bb0-ae8d-8a842f31349b,18,2.0,2,0,0,1,0,0,,,0,0,0
937,b28c46ce-934b-4a01-9bdb-99c3a57bf775,15,36.0,19,6,1,2,0,0,3.4038461538461537,,1,1,0
938,e9b5fdcc-e25e-4481-bb8d-1ca165c40730,15,26.0,16,4,0,1,0,0,4.055555555555555,,1,1,0
939,d01f68ce-25cc-408c-804f-72e8d606af7a,15,26.0,18,6,1,2,0,0,3.71875,,1,1,0
528,3a8db875-876f-42ad-aced-5d216a7d3f3d,15,27.0,16,3,0,1,0,0,,,1,1,0
215,312c5677-ad3e-461c-bee0-df2bb56200d6,2,18.0,9,3,1,6,0,0,3.6153846153846154,2.3076923076923075,1,0,1
218,b7070f2d-3c77-4952-b3d4-648549d421ef,15,36.0,19,6,1,2,0,0,,,1,1,0
940,f811da4e-2264-4d5f-ae7a-55daf325e9f0,15,27.0,19,6,1,2,0,0,3.981132075471698,,1,1,0
206,1c764c4e-4fd1-4e08-85ea-5d916bad7489,5,9.0,7,3,0,0,0,0,3.0,3.5,1,0,1
172,418e2723-d6ac-4b7f-9c67-bc3a6b454501,11,6.0,1,0,2,4,0,1,,,2,0,0
226,c0f50c2a-0b6a-4733-8877-44eb23c03ae3,14,26.0,15,0,11,0,0,0,,,2,0,1
85,efc18ddd-65bc-4c7f-a14a-4a852239853e,14,37.0,25,0,13,0,0,0,3.0,3.0,2,0,1
227,908485b8-e245-440b-8854-45f39b7b5b74,14,26.0,15,0,11,0,0,1,,,2,0,1
214,dbd8119b-a34e-4112-b975-70b22a8a7831,2,15.0,10,3,0,7,0,2,3.316326530612245,2.479591836734694,1,0,1
470,14ce2e02-aff8-4401-8156-0abf79a3c8eb,18,2.0,2,0,0,1,0,0,4.27027027027027,,0,1,0
941,43e614b6-79c9-47da-8a16-a0bde6827169,15,21.0,17,4,0,1,0,0,3.526315789473684,,1,1,0
529,990107ac-c4ef-4383-9cce-3fe96eec58f0,15,26.0,16,3,0,1,0,0,,,1,1,0
942,d0be1211-37a0-4ffe-a1ec-81ec9a4f0fc8,15,21.0,17,4,0,1,0,0,3.4285714285714284,,1,1,0
228,73de0878-c8a4-4462-b2ef-c4a80e60d6b1,2,16.0,10,3,0,7,0,0,3.579310344827586,2.7379310344827585,1,0,1
943,e66613d8-a970-44bc-859f-3076c15694d9,12,7.0,5,0,0,2,1,0,4.241379310344827,,3,1,0
250,29d684d6-06c2-4054-9dfd-8c3367206d79,8,2.0,1,2,1,0,1,4,,,2,0,1
230,0182154e-4b1c-456a-a65c-7f46fa017469,4,5.0,5,0,0,1,0,0,3.0,2.6,1,0,1
231,7b9fda67-d710-4924-a93b-8a664587c1c9,14,26.0,15,0,11,0,0,0,3.803921568627451,1.8235294117647058,2,0,1
232,f8909ad8-feb2-4ed3-887e-2f2b5a1edcae,14,37.0,25,0,13,0,0,0,3.7535211267605635,1.9154929577464788,2,0,1
247,25093fb4-4f3e-4e66-9002-5d8b3af2cce9,15,21.0,16,5,0,1,0,0,,,1,0,0
209,8378f30f-e1f2-4264-9921-80a843034e7f,3,25.0,12,8,3,3,0,0,,,1,0,1
216,11a28b30-4b47-4b53-bd45-59abba9a6895,15,26.0,16,4,0,1,0,0,4.1,1.62,1,0,0
