id,school_id,Number of Started Assigned Learning Activities,Number of Completed Assigned Learning Activities,Ratio of Completed Learning Activities to Assigned Learning Activities,Total Time in Completed Learning Activities,Average Time in Completed Learning Activities,Number of Exercise Activities,Number of Engagement Activities,Number of Comunication Activities,Number of Video Activities,Number of Game Activities,Number of Free Learning Activities,Number of Unique Free Learning Activities,Number of Started Learning Tracks,Number of Completed Learning Tracks,Total Time in Completed Learning Tracks,Average Time in Completed Learning Tracks,Number of Language Learning Tracks Started,Number of STEM Learning Tracks Started,Number of Music Learning Tracks Started,Number of Religion Learning Tracks Started,Number of Problems,Average Difficulty Rating,Average Fun Rating
63367297-1211-4d83-b08a-c26c4169cde5,9,31,31,0.7209302325581395,34 days 05:12:14.595377,1 days 02:29:25.632108935,20,6,1,3,1,0,0,2,1,9 days 23:03:18.902000,9 days 23:03:18.902000,1,0,1,0,0,,4.4
42c4d805-9c59-41bd-be8c-51a84bbb37a0,9,34,33,0.66,12 days 21:38:22.292348,0 days 09:22:58.857343878,22,6,1,3,2,0,0,3,1,8 days 23:15:46.124000,8 days 23:15:46.124000,1,0,2,0,0,,3.6129032258064515
e3ef6ea2-9a3c-4b05-86d6-118e4b0a2747,9,25,21,0.4883720930232558,28 days 02:11:54.976841,1 days 08:06:16.903659095,19,1,1,3,1,0,0,2,1,8 days 23:02:39.709000,8 days 23:02:39.709000,1,0,1,0,1,,4.0
79c62bd7-82a9-44a1-956e-518b4b9f0aa5,9,33,32,0.64,36 days 22:07:34.987393,1 days 03:41:29.218356031,21,6,1,4,1,0,0,3,1,8 days 23:30:55.355000,8 days 23:30:55.355000,1,0,2,0,1,,4.357142857142857
e3d1dee1-9362-42b9-be51-2e48c4101022,9,37,36,0.72,37 days 04:23:49.417241,1 days 00:47:19.706034472,23,6,1,5,2,0,0,3,2,44 days 23:26:10.190000,22 days 11:43:05.095000,1,0,2,0,2,,4.40625
06c67836-5165-4d1d-9eb9-6df087619dbd,9,36,36,0.8372093023255814,43 days 23:26:59.914299,1 days 05:19:04.997619416,24,6,1,4,1,0,0,2,2,44 days 00:01:46.881000,22 days 00:00:53.440500,1,0,1,0,1,,3.90625
d2147850-50b7-4ded-8a7c-32b3d02b3168,9,32,31,0.7209302325581395,28 days 03:10:41.976514,0 days 21:46:47.805694,21,6,1,3,1,0,0,3,1,9 days 23:29:33.079000,9 days 23:29:33.079000,1,0,1,0,0,,3.9655172413793105
fb68e581-4fd6-42c2-b168-6208232fb89c,9,31,31,0.7209302325581395,36 days 04:29:26.314647,1 days 04:00:56.977891838,20,6,1,3,1,0,0,2,1,8 days 22:59:43.085000,8 days 22:59:43.085000,1,0,1,0,1,,3.066666666666667
7fcdd856-cadc-44fa-9999-ec7afaf9d9a3,9,33,33,0.7674418604651163,37 days 23:50:54.714425,1 days 03:37:54.385285606,22,6,1,3,1,0,0,2,1,9 days 22:56:05.262000,9 days 22:56:05.262000,1,0,1,0,2,,3.533333333333333
c7fb198f-d676-4102-b584-6de8746addf8,9,43,43,0.86,37 days 21:24:56.017070,0 days 21:08:57.116676046,28,6,1,6,2,0,0,3,2,10 days 22:04:02.479000,5 days 11:02:01.239500,1,0,2,0,0,,4.891891891891892
fb0337e6-3992-4bb4-8c74-97db769a92ce,9,37,36,0.72,38 days 00:25:47.160594,1 days 01:20:42.976683166,23,6,1,5,2,0,0,3,2,38 days 00:59:04.813000,19 days 00:29:32.406500,1,0,2,0,1,,4.125
